"price","year","mileage","diesel","hybrid","mt","front.drive","rear.drive","engine.power","engine.capacity","sedan","hatchback","wagon","coupe","cabriolet","minivan","pickup"
"194",1500000,2010,110000,1,0,0,0,1,231,3,1,0,0,0,0,0,0
"195",1160000,2012,170000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"196",1110000,2011,98000,0,0,0,0,1,231,3,1,0,0,0,0,0,0
"197",1320000,2011,110665,0,0,0,0,0,272,3.5,1,0,0,0,0,0,0
"198",1290000,2012,75000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"199",1270000,2012,97000,0,0,0,0,1,184,1.8,0,0,0,1,0,0,0
"200",1450000,2013,150000,0,0,0,0,1,184,2,1,0,0,0,0,0,0
"201",1470000,2010,61000,1,0,0,0,1,204,2.1,1,0,0,0,0,0,0
"202",1190000,2010,84000,0,0,0,0,1,204,1.8,0,0,0,1,0,0,0
"203",1250000,2011,90000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"204",1100000,2011,80776,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"205",1500000,2012,71000,0,0,0,0,0,252,3.5,1,0,0,0,0,0,0
"206",1249000,2012,41000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"207",990000,2011,68000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"208",1100000,2012,115000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"209",1180000,2012,110000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"210",1370000,2011,17000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"211",1220000,2011,96000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"212",1195000,2012,81000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"213",1399999,2013,53000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"214",1100000,2010,61000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"215",1050000,2011,80000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"216",1420000,2013,40000,0,0,0,0,1,184,2,1,0,0,0,0,0,0
"217",1250000,2013,46000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"218",975000,2011,78000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"219",950000,2011,90700,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"220",996000,2011,83000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"221",1045000,2011,86000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"222",980000,2010,164000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"223",1200000,2011,92000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"224",1250000,2010,46000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"225",1300000,2011,61500,0,0,0,0,1,204,1.8,1,0,0,0,0,0,0
"226",1500000,2011,72000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"227",1300000,2012,65300,0,0,0,0,1,184,1.8,0,0,0,1,0,0,0
